"","org","cast(split_zc.doc_max as text)","zip_code","count_zip_code","latitude","longitude"
"1"," ","594","11361","840",40.764438,-73.773026
"2","1304 WONDER WORLD CENTER FOR CANCER CARE LTD","2","78666","2",29.972907,-97.997166
"3","1450 ASSOCIATES, LLC","5","8360","10",NA,NA
"4","1960 FAMILY PRACTICE PA","12","77388","12",29.83399,-95.434241
"5","21ST CENTURY ONCOLOGY LLC","47","34102","82",26.133968,-81.795309
"6","21ST CENTURY ONCOLOGY OF ALABAMA LLC","2","36305","2",31.219697,-85.4828
"7","21ST CENTURY ONCOLOGY OF CALIFORNIA A MEDICAL CORPORATION","4","90245","6",33.786594,-118.298662
"8","21ST CENTURY ONCOLOGY OF HARFORD COUNTY MARYLAND, LLC","2","21014","2",39.547557,-76.321984
"9","21ST CENTURY ONCOLOGY OF JACKSONVILLE LLC","8","32034","16",30.60778,-81.682889
"10","21ST CENTURY ONCOLOGY OF KENTUCKY LLC","2","40422","6",37.636006,-84.849682
"11","21ST CENTURY ONCOLOGY OF NEW JERSEY, INC.","2","80461","3",39.21753,-106.35833
"12","21ST CENTURY ONCOLOGY OF PRINCE GEORGES COUNTY, MARYLAND LLC","2","20770","2",38.995909,-76.880966
"13","21ST CENTURY RADIOLOGY AND IMAGING PC","1","11235","1",40.584455,-73.948402
"14","24/7 RADIOLOGY SOLUTIONS WEST PC","5","90033","10",33.786594,-118.298662
"15","3 DIMENSION DIAGNOSTIC SOLUTIONS","1","73072","1",35.218728,-97.363181
"16","3G TELERADIOLOGY SOLUTIONS","22","70942","22",NA,NA
"17","800 IMAGING ASSOCIATES LLC","10","18901","20",40.334863,-75.118737
"18","A AND R HEALTH SERVICES INC","1","15222","2",40.434436,-80.024817
"19","A I ADVANCED IMAGING OF TULSA LLC","13","74136","13",36.053498,-95.920371
"20","A V MEDICAL IMAGING INC","7","15065","7",40.434436,-80.024817
"21","A Z DERMATOLOGY PC","1","48075","2",42.462215,-83.230578
"22","A. KHODADADI RADIOLOGY P.C.","1","11229","1",40.600988,-73.939998
"23","A. RICHARD ADROUNY, M.D., INC.","1","95032","2",37.070923,-121.66186
"24","A.G. DIKENGIL, MD, PA","1","70712","1",30.97337,-91.538682
"25","ABBEN CANCER CENTER, LLC","1","51301","1",43.13291,-95.177909
